363,509,17,20,53,normal
395,594,17,25,443,normal
849,227,6,20,22,normal
333,954,6,53,23,normal
450,52,6,53,25,normal
516,517,1,80,79,normal
438,807,17,22,79,normal
554,182,17,80,53,normal
244,129,17,80,23,normal
306,99,17,25,53,normal
200,551,6,443,53,normal
573,603,17,53,443,normal
327,954,6,443,20,normal
441,120,17,53,53,normal
146,144,17,68,80,normal
417,22,6,53,25,normal
774,778,6,22,53,normal
196,625,17,53,22,normal
491,984,6,68,20,normal
935,189,17,22,25,normal
601,799,1,25,80,normal
898,398,17,53,20,normal
612,708,6,23,80,normal
800,787,6,23,53,normal
682,75,6,53,20,normal
1000,226,6,22,23,normal
6,303,17,80,25,normal
868,270,89,80,20,normal
217,837,1,20,20,normal
351,531,89,53,53,normal
401,301,6,80,80,normal
105,524,1,25,443,normal
284,106,17,443,443,normal
917,278,89,80,23,normal
46,313,6,53,68,normal
500,501,17,80,443,normal
458,315,1,23,68,normal
815,990,6,23,80,normal
425,142,89,25,25,normal
121,66,17,443,22,normal
479,118,6,53,25,normal
330,261,1,22,68,normal
150,541,6,22,53,normal
309,58,6,23,443,normal
170,791,17,53,53,normal
859,639,1,80,68,normal
868,712,17,53,23,normal
457,614,6,443,79,normal
852,96,17,53,25,normal
282,343,6,20,443,normal
481,117,17,25,53,normal
564,500,1,443,23,normal
738,562,6,53,23,normal
143,66,6,80,25,normal
436,169,17,79,25,normal
853,84,1,22,20,normal
818,523,6,53,20,normal
325,976,1,53,80,normal
29,266,17,23,23,normal
989,866,17,20,53,normal
51,110,17,53,443,normal
152,470,17,80,79,normal
497,18,17,68,80,normal
294,284,6,20,80,normal
256,420,1,53,25,normal
154,579,1,20,25,normal
830,173,1,53,20,normal
990,221,6,80,20,normal
72,432,6,23,22,normal
663,565,17,53,25,normal
293,266,1,68,80,normal
649,876,6,79,25,normal
209,422,6,80,80,normal
649,850,6,53,25,normal
223,358,89,53,80,normal
709,151,6,22,20,normal
737,721,1,22,53,normal
53,780,6,80,443,normal
979,370,17,23,80,normal
145,858,17,68,443,normal
424,502,17,80,20,normal
141,960,1,53,25,normal
203,777,17,79,53,normal
553,190,17,23,80,normal
386,177,89,23,443,normal
274,418,17,443,80,normal
746,318,6,53,53,normal
59,774,6,53,443,normal
317,971,17,22,20,normal
584,348,1,53,53,normal
123,656,17,80,63,anomaly
623,763,6,23,53,normal
396,287,17,53,20,normal
225,524,6,80,80,normal
304,484,6,22,80,normal
277,562,17,22,25,normal
881,717,6,22,443,normal
454,298,17,53,23,normal
240,348,17,20,20,normal
977,852,89,53,79,normal
909,885,1,443,20,normal
968,825,6,53,20,normal
222,526,6,22,53,normal
905,444,1,25,23,normal
525,127,17,23,23,normal
403,25,17,79,80,normal
379,702,6,53,443,normal
640,518,17,53,53,normal
196,728,17,79,53,normal
582,886,6,25,22,normal
761,212,17,22,80,normal
351,548,17,80,53,normal
445,215,17,53,53,normal
860,478,17,22,68,normal
108,35,17,80,22,normal
364,576,17,20,80,normal
883,115,6,443,68,normal
82,966,1,25,25,normal
923,742,17,53,23,normal
92,507,17,443,25,normal
302,56,6,68,25,normal
126,240,6,80,80,normal
379,865,17,80,25,normal
492,293,6,80,443,normal
262,702,17,53,68,normal
276,479,17,80,20,normal
376,632,6,23,23,normal
556,829,6,68,22,normal
449,31,17,443,80,normal
415,716,89,80,22,normal
335,96,17,80,25,normal
252,92,6,79,20,normal
277,187,1,53,22,normal
455,341,17,25,53,normal
827,158,6,53,53,normal
615,602,6,80,22,normal
908,51,17,25,20,normal
511,731,17,53,53,normal
560,33,6,68,53,normal
235,233,17,68,79,normal
220,190,6,25,53,normal
173,520,6,22,25,normal
737,197,6,79,443,normal
720,135,6,80,68,normal
500,533,1,80,22,normal
626,503,6,20,22,normal
119,796,6,80,23,normal
81,950,6,80,23,normal
664,950,6,25,25,normal
999,604,6,80,22,normal
614,474,6,68,20,normal
519,963,1,80,23,normal
676,887,17,20,80,normal
939,420,17,80,53,normal
896,219,6,68,25,normal
800,771,1,20,23,normal
667,502,17,53,25,normal
98,895,17,22,22,normal
967,724,6,22,80,normal
474,557,17,68,80,normal
233,173,6,22,25,normal
592,999,17,53,79,normal
194,978,1,80,80,normal
694,753,6,80,20,normal
86,625,6,22,25,normal
983,286,6,25,22,normal
374,567,17,20,23,normal
157,746,1,23,53,normal
257,573,6,79,443,normal
309,742,17,20,80,normal
497,85,6,80,23,normal
938,477,6,53,53,normal
573,812,17,22,80,normal
30,255,17,53,22,normal
63,81,6,20,22,normal
195,132,6,25,443,normal
42,292,6,53,79,normal
425,670,17,79,443,normal
776,816,6,443,23,normal
334,447,6,80,23,normal
527,626,6,80,79,normal
282,392,6,80,53,normal
464,244,6,443,25,normal
275,126,17,79,443,normal
467,227,6,443,443,normal
210,483,17,80,80,normal
105,244,6,80,80,normal
357,638,17,20,53,normal
759,846,17,80,68,normal
571,913,6,68,53,normal
541,813,6,80,25,normal
862,895,6,80,80,normal
703,234,6,53,80,normal
65,313,17,53,22,normal
524,627,17,443,68,normal
483,550,1,25,22,normal
57,816,6,20,25,normal
171,578,6,20,443,normal
67,613,17,80,68,normal
250,618,17,80,68,normal
298,775,6,25,53,normal
921,645,17,22,53,normal
862,968,1,80,22,normal
833,10,17,23,80,normal
207,764,17,22,25,normal
465,899,17,80,68,normal
397,956,6,53,443,normal
27,479,17,53,23,normal
313,234,17,443,25,normal
159,264,17,53,23,normal
743,808,6,22,25,normal
905,20,89,20,53,normal
721,565,1,80,20,normal
175,273,6,79,53,normal
768,91,17,79,53,normal
764,553,1,22,53,normal
147,157,17,53,23,normal
69,111,6,20,20,normal
749,256,6,53,20,normal
951,427,6,443,443,normal
208,970,6,80,80,normal
425,738,17,80,22,normal
468,394,6,80,80,normal
816,946,6,443,20,normal
3,410,17,53,80,normal
39,276,6,80,53,normal
279,307,17,22,79,normal
724,949,6,23,53,normal
582,464,17,20,20,normal
25,736,6,80,443,normal
355,413,17,443,68,normal
34,240,17,443,23,normal
747,971,6,53,20,normal
310,442,6,53,53,normal
545,648,17,22,53,normal
291,158,17,443,25,normal
396,514,6,53,80,normal
413,664,6,80,20,normal
782,220,1,53,53,normal
28,259,17,22,53,normal
321,778,17,22,80,normal
88,692,6,80,80,normal
186,406,17,53,22,normal
565,949,17,22,80,normal
521,161,1,20,25,normal
733,144,6,20,80,normal
551,733,17,68,80,normal
378,847,17,443,25,normal
31,314,17,20,80,normal
821,795,17,79,53,normal
22,600,17,53,68,normal
176,353,6,53,20,normal
820,976,17,22,80,normal
732,713,17,443,80,normal
828,759,6,22,25,normal
798,138,6,53,79,normal
628,908,1,80,53,normal
901,817,17,23,53,normal
861,46,6,53,53,normal
836,753,1,79,53,normal
897,677,17,53,443,normal
664,159,17,443,20,normal
367,760,6,80,20,normal
864,210,17,80,68,normal
214,982,6,68,80,normal
578,441,17,23,53,normal
308,735,17,80,53,normal
681,23,17,25,443,normal
41,362,6,23,25,normal
344,498,17,80,80,normal
937,630,6,68,80,normal
325,152,17,80,22,normal
506,848,6,25,20,normal
882,611,17,22,80,normal
959,741,6,25,443,normal
37,468,17,23,53,normal
532,360,17,20,25,normal
972,658,6,80,20,normal
738,807,1,79,23,normal
373,322,17,23,80,normal
33,842,17,443,25,normal
448,229,1,80,22,normal
64,162,17,80,53,normal
437,848,6,20,25,normal
527,837,1,79,23,normal
232,923,1,22,443,normal
292,839,17,23,80,normal
555,322,6,20,22,normal
439,569,89,53,25,normal
632,977,6,443,20,normal
674,175,6,80,20,normal
457,152,6,53,23,normal
71,588,17,22,53,normal
558,714,1,25,53,normal
39,763,6,80,80,normal
63,23,1,53,25,normal
750,445,89,80,53,normal
979,438,17,25,80,normal
724,921,17,20,80,normal
389,778,89,20,53,normal
520,256,89,443,80,normal
560,139,6,22,53,normal
672,264,6,53,53,normal
881,43,17,443,23,normal
459,27,17,443,20,normal
740,104,6,53,22,normal
142,276,17,20,80,normal
405,251,17,53,443,normal
175,926,17,22,80,normal
119,642,6,25,22,normal
575,520,6,23,20,normal
647,695,6,443,23,normal
480,748,6,80,80,normal
517,343,17,23,80,normal
306,825,6,20,53,normal
2,894,17,20,25,normal
375,525,17,53,20,normal
615,72,17,53,20,normal
561,622,1,53,20,normal
750,953,6,23,80,normal
290,927,6,53,25,normal
844,141,6,53,53,normal
312,672,1,22,20,normal
6,820,6,25,80,normal
734,156,17,25,53,normal
42,815,17,20,443,normal
766,728,89,80,25,normal
663,242,17,80,53,normal
196,221,17,25,20,normal
97,822,17,22,80,normal
794,38,6,22,53,normal
914,715,17,80,53,normal
269,727,17,53,68,normal
383,530,17,22,68,normal
761,792,1,443,80,normal
546,945,17,22,80,normal
92,779,6,22,53,normal
157,395,17,22,23,normal
794,47,6,53,22,normal
401,234,6,20,53,normal
503,446,6,53,80,normal
544,492,6,23,53,normal
103,72,89,80,80,normal
541,888,17,53,443,normal
671,956,17,443,443,normal
574,256,6,25,53,normal
465,306,6,68,53,normal
219,436,17,68,80,normal
922,909,1,20,20,normal
552,709,6,68,80,normal
155,560,17,25,443,normal
978,888,6,23,25,normal
55,981,17,53,80,normal
306,845,17,443,25,normal
501,57,6,22,53,normal
998,718,1,20,443,normal
484,464,17,53,68,normal
349,597,6,80,53,normal
342,269,17,443,79,normal
861,967,17,22,80,normal
264,312,6,23,443,normal
83,252,17,53,53,normal
509,293,6,25,25,normal
847,303,6,20,80,normal
775,558,6,80,79,normal
941,957,6,22,443,normal
789,809,1,53,53,normal
730,553,6,25,53,normal
510,698,6,20,22,normal
420,693,17,53,79,normal
704,743,6,443,68,normal
359,910,17,53,25,normal
467,524,89,20,80,normal
711,360,6,20,20,normal
291,653,17,80,22,normal
567,800,89,53,53,normal
862,742,6,25,68,normal
59,906,17,23,22,normal
834,571,17,22,22,normal
991,386,6,20,23,normal
711,159,1,80,23,normal
162,715,6,443,79,normal
776,946,6,20,23,normal
377,439,17,443,25,normal
768,2,1,53,80,normal
170,335,89,80,79,normal
1808,372,17,22,22,anomaly
225,418,6,80,23,normal
248,921,6,443,80,normal
79,535,6,79,443,normal
994,846,17,443,68,normal
158,591,17,25,80,normal
33,774,6,25,443,normal
504,133,17,22,20,normal
276,578,6,23,53,normal
69,600,17,80,22,normal
968,399,6,25,53,normal
391,467,6,25,22,normal
942,305,1,22,80,normal
81,424,6,79,80,normal
534,416,17,443,68,normal
368,934,6,25,25,normal
722,407,6,53,53,normal
956,704,6,80,68,normal
818,468,17,53,443,normal
168,241,6,79,25,normal
944,687,6,23,68,normal
806,871,6,443,22,normal
776,52,6,23,23,normal
317,125,17,22,79,normal
822,916,17,20,22,normal
439,514,6,23,443,normal
932,775,6,68,20,normal
63,385,6,443,53,normal
743,751,1,25,80,normal
163,354,6,20,25,normal
612,342,17,68,80,normal
133,495,6,443,53,normal
226,140,6,80,53,normal
710,143,6,53,53,normal
806,5,17,23,20,normal
700,315,6,22,23,normal
439,917,6,22,22,normal
301,557,1,25,23,normal
405,844,17,53,80,normal
834,624,17,68,80,normal
350,25,6,23,79,normal
257,974,17,25,53,normal
345,882,6,80,80,normal
581,652,6,443,80,normal
334,977,17,80,443,normal
